iter	Logloss
0	0.6514838328
1	0.6162343756
2	0.583751359
3	0.5561883824
4	0.5312208967
5	0.5082684582
6	0.4863984018
7	0.4664618757
8	0.4485373348
9	0.4351927893
10	0.4249939115
11	0.4125124869
12	0.4006732891
13	0.3887292349
14	0.3786144886
15	0.3693917577
16	0.3628643405
17	0.3548781744
18	0.3479495698
19	0.3409408577
20	0.3342215195
21	0.3283355854
22	0.3232332355
23	0.3179170446
24	0.3129766391
25	0.3083855099
26	0.3035218172
27	0.3001544426
28	0.2961028302
29	0.2920333766
30	0.2884278526
31	0.284876022
32	0.2821789924
33	0.2788457895
34	0.2768016167
35	0.2741395929
36	0.271173778
37	0.2682219546
38	0.2659198227
39	0.2636930542
40	0.2613620334
41	0.2588242801
42	0.2569752352
43	0.2550080706
44	0.2534736899
45	0.2516146636
46	0.2499157795
47	0.2478841661
48	0.2457933681
49	0.2441420892
50	0.2424945897
51	0.241143547
52	0.2394237566
53	0.2374560822
54	0.2359497701
55	0.2344581676
56	0.233314635
57	0.2318709253
58	0.2304894765
59	0.2289089625
60	0.2278004245
61	0.2261359684
62	0.2250127393
63	0.2239512997
64	0.2228275483
65	0.2215045158
66	0.220078023
67	0.2190954171
68	0.2176216476
69	0.2156796915
70	0.2144384906
71	0.2131519353
72	0.212388077
73	0.2116729227
74	0.2107557485
75	0.20967693
76	0.2085610027
77	0.2078503597
78	0.2071030138
79	0.2062413718
80	0.2054727265
81	0.2046207062
82	0.2038746473
83	0.2030813894
84	0.2019243326
85	0.2009234691
86	0.200061336
87	0.1995234839
88	0.1985051871
89	0.1974858284
90	0.1967156552
91	0.1956338504
92	0.1950972543
93	0.1941702714
94	0.19366816
95	0.192757169
96	0.1918279362
97	0.1910931351
98	0.1901253207
99	0.1892037982
100	0.1884165873
101	0.1877260405
102	0.1873423453
103	0.1867567344
104	0.185602789
105	0.1849357152
106	0.1841556939
107	0.1831202838
108	0.1827412832
109	0.1822818456
110	0.1818434345
111	0.1812673519
112	0.1805955997
113	0.1798041653
114	0.1788568324
115	0.1780438082
116	0.1773647793
117	0.1769937669
118	0.1762476617
119	0.1758427938
120	0.1752601663
121	0.1746252745
122	0.1739744716
123	0.1734064801
124	0.1728037897
125	0.1721782876
126	0.1716289264
127	0.1711344614
128	0.1706918922
129	0.1702132735
130	0.1698651385
131	0.1694806012
132	0.1691697019
133	0.1688192721
134	0.1683657375
135	0.1678609384
136	0.1673187348
137	0.1668779134
138	0.1666611201
139	0.165986469
140	0.1654919039
141	0.1650089969
142	0.1645391065
143	0.1638463546
144	0.1634783708
145	0.1629293898
146	0.1623456357
147	0.1619832347
148	0.1616481506
149	0.1610581662
150	0.1605623996
151	0.1601979901
152	0.1597605533
153	0.1594225426
154	0.1588691433
155	0.1583973535
156	0.1580572804
157	0.1577243317
158	0.1573513538
159	0.1569605684
160	0.1566817092
161	0.1564224707
162	0.1559812406
163	0.1556662385
164	0.1552594278
165	0.1549390017
166	0.1544921199
167	0.1538682464
168	0.153122581
169	0.1526370231
170	0.1519954465
171	0.1515800786
172	0.1512636607
173	0.1511697053
174	0.1507740223
175	0.1506279154
176	0.1503351436
177	0.1498891699
178	0.1494785568
179	0.1488171012
180	0.1485616426
181	0.1483497965
182	0.1480071907
183	0.1476127091
184	0.1473974908
185	0.1470303995
186	0.1465958841
187	0.146101428
188	0.1458963838
189	0.1454158647
190	0.1450795584
191	0.1444999314
192	0.1443480454
193	0.1438356128
194	0.1434208872
195	0.1431020459
196	0.142674923
197	0.1423562285
198	0.1420130734
199	0.1416218121
200	0.1412728296
201	0.1408774801
202	0.1407237439
203	0.1403026303
204	0.1398761057
205	0.1396813129
206	0.1392508659
207	0.1386401411
208	0.1382633822
209	0.138080289
210	0.1377351804
211	0.1370595459
212	0.1366569545
213	0.1363418555
214	0.1361768719
215	0.1356179037
216	0.1352167008
217	0.1348726569
218	0.1346920024
219	0.1342649047
220	0.133813538
221	0.1335633322
222	0.1329902518
223	0.1325201067
224	0.1322129545
225	0.1318684733
226	0.1314382323
227	0.1309716808
228	0.1306171948
229	0.130313332
230	0.1299907966
231	0.1298261597
232	0.1292833526
233	0.1287364191
234	0.128277878
235	0.1277774094
236	0.1274981492
237	0.1270835731
238	0.1268284264
239	0.1267188173
240	0.1265766359
241	0.1263771863
242	0.1259612834
243	0.1257415057
244	0.1251239367
245	0.1247352376
246	0.124659951
247	0.1242066461
248	0.1238260155
249	0.123389422
250	0.1229591923
251	0.1227996083
252	0.1226671176
253	0.1225571687
254	0.1225013952
255	0.1224302095
256	0.1220424448
257	0.1217521431
258	0.12145502
259	0.1210595358
260	0.1206501353
